__run_id,__done,_compiler,_benchmark,execution_time,cpu_usage,memory_usage,energy_consumption
run_0_repetition_14,DONE,pure_python,bfs,1.002,5.872,8588297.714,18.832
run_10_repetition_6,DONE,cython,bfs,0.401,6.424,8605170.0,7.894
run_0_repetition_12,DONE,pure_python,bfs,1.001,5.967,8624300.571,18.333
run_2_repetition_10,DONE,pure_python,dense_matrix,0.201,13.757,8616190.667,4.018
run_19_repetition_5,DONE,cython,nbody,1.601,6.573,8632499.2,38.157
run_8_repetition_19,DONE,pure_python,sieve,0.601,4.856,8605324.0,10.674
run_8_repetition_4,DONE,pure_python,sieve,0.602,4.931,8595067.2,10.478
run_0_repetition_8,DONE,pure_python,bfs,1.002,5.812,8593654.286,18.645
run_21_repetition_13,DONE,swig,convex,0.401,7.208,8563877.0,7.71
run_13_repetition_5,DONE,cython,fft,0.201,12.565,8568630.667,3.55
run_6_repetition_9,DONE,pure_python,quick_sort,1.601,7.333,8590380.0,41.089
run_8_repetition_15,DONE,pure_python,sieve,0.401,5.635,8549356.0,9.01
run_21_repetition_16,DONE,swig,convex,0.401,5.392,8566650.0,8.577
run_10_repetition_4,DONE,cython,bfs,0.201,7.64,8586816.0,3.341
run_18_repetition_8,DONE,cython,sieve,0.201,2.777,8610512.0,1.271
run_27_repetition_10,DONE,swig,regex,0.2,4.956,8594004.0,5.035
run_14_repetition_11,DONE,cython,json_bench,1.802,7.168,8613201.818,39.243
run_5_repetition_16,DONE,pure_python,k_means,3.802,7.551,8612014.095,95.485
run_16_repetition_3,DONE,cython,quick_sort,0.401,5.291,8543348.0,6.496
run_15_repetition_8,DONE,cython,k_means,0.2,4.289,8541712.0,3.812
run_14_repetition_13,DONE,cython,json_bench,1.802,6.493,8581687.636,39.636
run_21_repetition_12,DONE,swig,convex,0.401,7.272,8587000.0,7.473
run_24_repetition_4,DONE,swig,json_bench,1.401,6.252,8619607.556,28.929
run_24_repetition_14,DONE,swig,json_bench,1.601,7.426,8612209.6,34.917
run_20_repetition_6,DONE,swig,bfs,0.201,4.556,8549900.0,2.866
run_6_repetition_18,DONE,pure_python,quick_sort,1.602,7.412,8558953.6,40.421
run_26_repetition_16,DONE,swig,quick_sort,0.401,4.565,8551739.0,5.432
run_15_repetition_16,DONE,cython,k_means,0.201,4.472,8574676.0,2.746
run_25_repetition_10,DONE,swig,k_means,0.2,5.584,8567314.667,4.529
run_22_repetition_14,DONE,swig,dense_matrix,0.4,21.803,8613635.0,12.114
run_24_repetition_8,DONE,swig,json_bench,1.601,7.946,8665641.2,35.533
run_11_repetition_6,DONE,cython,convex,0.401,13.185,8576334.0,9.756
run_8_repetition_3,DONE,pure_python,sieve,0.601,4.817,8560607.2,10.565
run_27_repetition_0,DONE,swig,regex,0.201,5.179,8561798.667,3.988
run_3_repetition_9,DONE,pure_python,fft,0.2,11.83,8571550.667,3.867
run_19_repetition_16,DONE,cython,nbody,1.601,8.422,8581608.4,40.951
run_11_repetition_0,DONE,cython,convex,0.401,13.131,8567189.0,9.444
run_11_repetition_15,DONE,cython,convex,0.401,22.537,8587495.0,10.614
run_27_repetition_6,DONE,swig,regex,0.201,5.283,8579918.667,4.135
run_5_repetition_11,DONE,pure_python,k_means,3.802,7.481,8566577.714,96.381
run_9_repetition_1,DONE,pure_python,nbody,3.803,6.957,8582364.952,96.05
run_7_repetition_8,DONE,pure_python,regex,0.401,5.006,8570693.0,7.555
run_27_repetition_5,DONE,swig,regex,0.2,5.738,8571164.0,4.438
run_19_repetition_7,DONE,cython,nbody,1.601,6.521,8593765.2,37.845
run_17_repetition_2,DONE,cython,regex,0.401,7.759,8567076.0,8.062
run_23_repetition_10,DONE,swig,fft,0.201,11.871,8547853.333,4.164
run_29_repetition_17,DONE,swig,nbody,1.8,6.471,8567998.545,41.845
run_11_repetition_5,DONE,cython,convex,0.402,13.061,8579657.0,9.565
run_7_repetition_17,DONE,pure_python,regex,0.401,4.751,8594922.0,7.952
run_21_repetition_3,DONE,swig,convex,0.401,5.132,8601229.0,7.516
run_24_repetition_10,DONE,swig,json_bench,1.401,6.135,8636956.889,31.542
run_1_repetition_9,DONE,pure_python,convex,4.402,7.778,8578346.5,113.449
run_15_repetition_19,DONE,cython,k_means,0.202,4.489,8544412.0,2.909
run_18_repetition_2,DONE,cython,sieve,0.201,3.703,8553232.0,1.639
run_23_repetition_2,DONE,swig,fft,0.201,11.723,8551270.667,4.424
run_14_repetition_4,DONE,cython,json_bench,1.802,6.286,8596865.091,39.746
run_20_repetition_0,DONE,swig,bfs,0.2,4.413,8567024.0,4.116
run_12_repetition_17,DONE,cython,dense_matrix,0.201,17.24,8571626.667,4.95
run_29_repetition_13,DONE,swig,nbody,1.601,6.418,8592201.2,37.127
run_8_repetition_5,DONE,pure_python,sieve,0.601,4.467,8547959.2,9.877
run_17_repetition_10,DONE,cython,regex,0.401,5.18,8557960.0,7.588
run_20_repetition_2,DONE,swig,bfs,0.201,4.208,8539762.667,2.926
run_18_repetition_11,DONE,cython,sieve,0.201,3.847,8557609.333,1.853
run_21_repetition_6,DONE,swig,convex,0.401,4.869,8570125.0,7.435
